#####################################################################
# Alchemist log file - simulation started at: 2025-03-20T15:40+0000 #
#####################################################################
#
# seed = 233.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 500 500 0.00 500 0.00 NaN NaN NaN NaN NaN
0.5736643573513978 4 8.994331664134453 9.045104901744873 3.0 0.12258804533153125 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.101 0.101 0.00 0.101 0.00 450 113 5.06e+04 0.00 225 0.101 0.101 0.00 0.101 0.00
1.5736643573513978 4 8.994331664134453 9.045104901744873 3.0 0.12258804533153125 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.196 0.124 0.00230 0.101 0.0479 2.66e+03 1.46e+03 8.29e+05 1.36e+03 911 0.198 0.149 0.00316 0.148 0.0562
2.5736643573513978 4 8.994331664134453 9.045104901744873 3.0 0.12258804533153125 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.196 0.124 0.00230 0.101 0.0479 2.40e+03 1.33e+03 6.45e+05 1.23e+03 803 0.198 0.149 0.00316 0.148 0.0562
3.5736643573513978 7 10.485257213251364 13.153500044961776 5.0 0.07241380924114381 3.0 4.0 2.9 0.48 3.0 0.69 3.00 0.857 2.14 0.00 1.46 2.77 0.729 0.955 0.196 0.977 2.40e+03 758 8.25e+05 450 908 2.77 0.743 0.936 0.198 0.968
4.573664357351397 7 10.485257213251364 13.153500044961776 5.0 0.07241380924114381 3.0 4.0 2.9 0.48 3.0 0.69 3.00 0.857 2.14 0.00 1.46 2.77 0.729 0.955 0.196 0.977 2.87e+03 509 1.11e+06 124 1.05e+03 2.77 1.24 1.14 0.998 1.07
5.573664357351397 7 10.485257213251364 13.153500044961776 5.0 0.07241380924114381 3.0 4.0 2.9 0.48 3.0 0.69 3.00 0.857 2.14 0.00 1.46 2.77 0.729 0.955 0.196 0.977 1.95e+05 4.66e+04 5.19e+09 2.58e+03 7.20e+04 2.77 1.24 1.14 0.998 1.07
6.573664357351397 7 10.485257213251364 13.153500044961776 5.0 0.07241380924114381 3.0 4.0 2.9 0.48 3.0 0.69 3.00 0.857 2.14 0.00 1.46 2.77 0.729 0.955 0.196 0.977 1.95e+05 4.66e+04 5.19e+09 2.58e+03 7.20e+04 2.77 1.24 1.14 0.998 1.07
7.573664357351397 10 10.736623562428724 16.495586792916903 7.0 0.07156247574523092 4.0 6.0 3.2 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 35.1 9.05 198 0.917 14.1 1.95e+05 3.26e+04 3.97e+09 281 6.30e+04 35.1 9.41 192 1.95 13.8
8.573664357351397 10 10.736623562428724 16.495586792916903 7.0 0.07156247574523092 4.0 6.0 3.2 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 35.1 9.05 198 0.917 14.1 1.95e+05 3.26e+04 3.97e+09 281 6.30e+04 85.4 17.7 753 1.95 27.4
9.573664357351397 10 10.736623562428724 16.495586792916903 7.0 0.07156247574523092 4.0 6.0 3.2 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 35.1 9.05 198 0.917 14.1 1.95e+05 3.31e+04 3.94e+09 234 6.27e+04 85.4 24.5 752 21.1 27.4
10.573664357351397 10 10.736623562428724 16.495586792916903 7.0 0.07156247574523092 4.0 6.0 3.2 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 35.1 9.05 198 0.917 14.1 3.00e+08 6.98e+07 1.44e+16 4.27e+03 1.20e+08 85.4 24.5 752 21.1 27.4
11.573664357351397 10 10.736623562428724 16.495586792916903 7.0 0.07156247574523092 4.0 6.0 3.2 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 35.1 9.05 198 0.917 14.1 3.00e+08 6.98e+07 1.44e+16 4.27e+03 1.20e+08 85.4 24.5 752 21.1 27.4
12.573664357351397 10 10.736623562428724 16.495586792916903 7.0 0.07156247574523092 4.0 6.0 3.2 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 35.1 9.05 198 0.917 14.1 3.00e+08 6.98e+07 1.44e+16 4.27e+03 1.20e+08 85.4 24.5 752 21.1 27.4
13.573664357351397 13 10.84413810442612 19.246323500897184 9.0 0.07453728712827139 5.0 6.0 3.4 1.9 3.0 1.4 3.00 0.923 2.08 0.00 1.44 126 30.2 1.85e+03 2.77 43.0 3.00e+08 5.37e+07 1.18e+16 1.26e+03 1.08e+08 126 42.1 1.76e+03 32.1 42.0
14.573664357351397 13 10.84413810442612 19.246323500897184 9.0 0.07453728712827139 5.0 6.0 3.4 1.9 3.0 1.4 3.00 0.923 2.08 0.00 1.44 126 30.2 1.85e+03 2.77 43.0 3.00e+08 5.37e+07 1.18e+16 1.26e+03 1.08e+08 302 62.6 6.94e+03 32.1 83.3
15.573664357351397 13 10.84413810442612 19.246323500897184 9.0 0.07453728712827139 5.0 6.0 3.4 1.9 3.0 1.4 3.00 0.923 2.08 0.00 1.44 126 30.2 1.85e+03 2.77 43.0 3.00e+08 5.37e+07 1.18e+16 1.26e+03 1.08e+08 352 83.1 1.34e+04 32.1 116
16.573664357351397 13 10.84413810442612 19.246323500897184 9.0 0.07453728712827139 5.0 6.0 3.4 1.9 3.0 1.4 3.00 0.923 2.08 0.00 1.44 126 30.2 1.85e+03 2.77 43.0 3.00e+08 5.37e+07 1.18e+16 1.26e+03 1.08e+08 352 100 1.38e+04 83.7 117
17.573664357351397 13 10.84413810442612 19.246323500897184 9.0 0.07453728712827139 5.0 6.0 3.4 1.9 3.0 1.4 3.00 0.923 2.08 0.00 1.44 126 30.2 1.85e+03 2.77 43.0 2.84e+15 3.09e+14 6.29e+29 1.67e+03 7.93e+14 352 100 1.38e+04 83.7 117
18.573664357351397 13 10.84413810442612 19.246323500897184 9.0 0.07453728712827139 5.0 6.0 3.4 1.9 3.0 1.4 3.00 0.923 2.08 0.00 1.44 126 30.2 1.85e+03 2.77 43.0 2.84e+15 3.09e+14 6.29e+29 1.67e+03 7.93e+14 352 100 1.38e+04 83.7 117
19.573664357351397 13 10.84413810442612 19.246323500897184 9.0 0.07453728712827139 5.0 6.0 3.4 1.9 3.0 1.4 3.00 0.923 2.08 0.00 1.44 126 30.2 1.85e+03 2.77 43.0 2.84e+15 3.09e+14 6.29e+29 1.67e+03 7.93e+14 352 100 1.38e+04 83.7 117
20.573664357351397 13 10.84413810442612 19.246323500897184 9.0 0.07453728712827139 5.0 6.0 3.4 1.9 3.0 1.4 3.00 0.923 2.08 0.00 1.44 126 30.2 1.85e+03 2.77 43.0 2.84e+15 3.09e+14 6.29e+29 1.67e+03 7.93e+14 352 100 1.38e+04 83.7 117
21.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 2.84e+15 2.51e+14 5.19e+29 806 7.20e+14 352 115 1.42e+04 88.2 119
22.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 2.84e+15 2.51e+14 5.19e+29 806 7.20e+14 545 142 2.57e+04 88.2 160
23.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 2.84e+15 2.51e+14 5.19e+29 806 7.20e+14 721 168 4.57e+04 88.2 214
24.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 2.84e+15 2.51e+14 5.19e+29 806 7.20e+14 772 194 6.70e+04 88.2 259
25.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 2.84e+15 2.51e+14 5.19e+29 726 7.20e+14 772 215 6.94e+04 88.2 263
26.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 6.38e+40 4.39e+39 2.54e+80 674 1.59e+40 772 215 6.94e+04 88.2 263
27.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 6.38e+40 4.39e+39 2.54e+80 674 1.59e+40 772 215 6.94e+04 88.2 263
28.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 6.38e+40 4.39e+39 2.54e+80 674 1.59e+40 772 215 6.94e+04 88.2 263
29.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 6.38e+40 4.39e+39 2.54e+80 674 1.59e+40 772 215 6.94e+04 88.2 263
30.573664357351397 16 11.216341668140656 21.542131658971947 11.0 0.04909962227262725 6.0 6.0 3.5 1.7 3.0 1.3 3.00 0.938 2.06 0.00 1.44 274 58.6 7.27e+03 25.1 85.3 6.38e+40 4.39e+39 2.54e+80 674 1.59e+40 772 215 6.94e+04 88.2 263
