#####################################################################
# Alchemist log file - simulation started at: 2025-03-20T15:40+0000 #
#####################################################################
#
# seed = 462.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 500 500 0.00 500 0.00 NaN NaN NaN NaN NaN
0.5706372202088092 4 8.856726938553978 9.947117414432896 3.0 0.06622965544529252 2.0 3.0 1.5 1.0 1.0 1.0 3.00 0.750 2.25 0.00 1.50 0.101 0.101 0.00 0.101 0.00 450 113 5.06e+04 0.00 225 0.101 0.101 0.00 0.101 0.00
1.5706372202088092 4 8.856726938553978 9.947117414432896 3.0 0.06622965544529252 2.0 3.0 1.5 1.0 1.0 1.0 3.00 0.750 2.25 0.00 1.50 0.195 0.124 0.00224 0.101 0.0473 2.65e+03 1.46e+03 8.16e+05 1.37e+03 904 0.198 0.148 0.00309 0.148 0.0556
2.570637220208809 4 8.856726938553978 9.947117414432896 3.0 0.06622965544529252 2.0 3.0 1.5 1.0 1.0 1.0 3.00 0.750 2.25 0.00 1.50 0.195 0.124 0.00224 0.101 0.0473 2.38e+03 1.32e+03 6.35e+05 1.23e+03 797 0.198 0.148 0.00309 0.148 0.0556
3.570637220208809 7 9.110047750179607 11.296886687742171 5.0 0.0690647034581941 3.0 5.0 3.1 2.5 4.0 1.6 3.00 0.857 2.14 0.00 1.46 1.51 0.315 0.278 0.101 0.527 2.38e+03 757 8.18e+05 450 905 1.51 0.329 0.272 0.102 0.522
4.570637220208809 7 9.110047750179607 11.296886687742171 5.0 0.0690647034581941 3.0 5.0 3.1 2.5 4.0 1.6 3.00 0.857 2.14 0.00 1.46 1.51 0.315 0.278 0.101 0.527 1.08e+03 254 1.58e+05 124 397 1.51 0.488 0.308 0.102 0.555
5.570637220208809 7 9.110047750179607 11.296886687742171 5.0 0.0690647034581941 3.0 5.0 3.1 2.5 4.0 1.6 3.00 0.857 2.14 0.00 1.46 1.51 0.315 0.278 0.101 0.527 3.97e+04 6.66e+03 2.14e+08 971 1.46e+04 1.51 0.488 0.308 0.102 0.555
6.570637220208809 7 9.110047750179607 11.296886687742171 5.0 0.0690647034581941 3.0 5.0 3.1 2.5 4.0 1.6 3.00 0.857 2.14 0.00 1.46 1.51 0.315 0.278 0.101 0.527 3.97e+04 6.66e+03 2.14e+08 971 1.46e+04 1.51 0.488 0.308 0.102 0.555
7.570637220208809 10 11.13984246331285 13.872910238314299 7.0 0.045076892505056206 4.0 5.0 3.2 1.5 3.5 1.2 3.00 0.900 2.10 0.00 1.45 14.8 1.89 20.9 0.138 4.57 3.97e+04 4.66e+03 1.53e+08 281 1.24e+04 14.8 2.02 20.5 0.372 4.53
8.570637220208809 10 11.13984246331285 13.872910238314299 7.0 0.045076892505056206 4.0 5.0 3.2 1.5 3.5 1.2 3.00 0.900 2.10 0.00 1.45 14.8 1.89 20.9 0.138 4.57 3.97e+04 4.66e+03 1.53e+08 281 1.24e+04 16.7 3.54 42.0 0.372 6.48
