#####################################################################
# Alchemist log file - simulation started at: 2025-03-20T15:40+0000 #
#####################################################################
#
# seed = 400.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 500 500 0.00 500 0.00 NaN NaN NaN NaN NaN
0.23633139690384164 4 11.333713725622966 9.353940831395935 3.0 0.0892090617806666 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.101 0.101 0.00 0.101 0.00 450 113 5.06e+04 0.00 225 0.101 0.101 0.00 0.101 0.00
1.2363313969038416 4 11.333713725622966 9.353940831395935 3.0 0.0892090617806666 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.186 0.122 0.00183 0.101 0.0428 2.52e+03 1.43e+03 7.22e+05 1.36e+03 850 0.193 0.145 0.00268 0.143 0.0518
2.2363313969038416 4 11.333713725622966 9.353940831395935 3.0 0.0892090617806666 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.186 0.122 0.00183 0.101 0.0428 2.27e+03 1.29e+03 5.59e+05 1.23e+03 748 0.193 0.145 0.00268 0.143 0.0518
3.2363313969038416 7 10.350161227517646 13.46647774009264 5.0 0.07019514221303443 3.0 4.0 2.3 0.90 2.0 0.95 3.00 0.857 2.14 0.00 1.46 2.67 0.827 1.08 0.186 1.04 2.27e+03 740 7.59e+05 450 871 2.67 0.840 1.06 0.193 1.03
4.236331396903841 7 10.350161227517646 13.46647774009264 5.0 0.07019514221303443 3.0 4.0 2.3 0.90 2.0 0.95 3.00 0.857 2.14 0.00 1.46 2.67 0.827 1.08 0.186 1.04 3.35e+03 579 1.52e+06 127 1.23e+03 2.88 1.42 1.30 1.54 1.14
5.236331396903841 7 10.350161227517646 13.46647774009264 5.0 0.07019514221303443 3.0 4.0 2.3 0.90 2.0 0.95 3.00 0.857 2.14 0.00 1.46 2.67 0.827 1.08 0.186 1.04 2.20e+05 6.26e+04 7.97e+09 3.02e+03 8.93e+04 2.88 1.42 1.30 1.54 1.14
6.236331396903841 7 10.350161227517646 13.46647774009264 5.0 0.07019514221303443 3.0 4.0 2.3 0.90 2.0 0.95 3.00 0.857 2.14 0.00 1.46 2.67 0.827 1.08 0.186 1.04 2.20e+05 6.26e+04 7.97e+09 3.02e+03 8.93e+04 2.88 1.42 1.30 1.54 1.14
7.236331396903841 10 9.681683581961716 16.333395646699245 7.0 0.051614512057380005 4.0 5.0 2.8 1.1 2.5 1.0 3.00 0.900 2.10 0.00 1.45 33.9 5.52 110 1.31 10.5 2.20e+05 4.38e+04 6.23e+09 282 7.89e+04 33.9 5.94 106 2.26 10.3
8.236331396903841 10 9.681683581961716 16.333395646699245 7.0 0.051614512057380005 4.0 5.0 2.8 1.1 2.5 1.0 3.00 0.900 2.10 0.00 1.45 33.9 5.52 110 1.31 10.5 2.20e+05 4.38e+04 6.23e+09 282 7.89e+04 49.4 10.6 291 2.37 17.1
9.236331396903841 10 9.681683581961716 16.333395646699245 7.0 0.051614512057380005 4.0 5.0 2.8 1.1 2.5 1.0 3.00 0.900 2.10 0.00 1.45 33.9 5.52 110 1.31 10.5 2.20e+05 4.39e+04 6.22e+09 233 7.89e+04 49.4 14.4 295 7.76 17.2
10.236331396903841 10 9.681683581961716 16.333395646699245 7.0 0.051614512057380005 4.0 5.0 2.8 1.1 2.5 1.0 3.00 0.900 2.10 0.00 1.45 33.9 5.52 110 1.31 10.5 7.30e+07 9.63e+06 5.25e+14 2.50e+03 2.29e+07 49.4 14.4 295 7.76 17.2
11.236331396903841 10 9.681683581961716 16.333395646699245 7.0 0.051614512057380005 4.0 5.0 2.8 1.1 2.5 1.0 3.00 0.900 2.10 0.00 1.45 33.9 5.52 110 1.31 10.5 7.30e+07 9.63e+06 5.25e+14 2.50e+03 2.29e+07 49.4 14.4 295 7.76 17.2
12.236331396903841 10 9.681683581961716 16.333395646699245 7.0 0.051614512057380005 4.0 5.0 2.8 1.1 2.5 1.0 3.00 0.900 2.10 0.00 1.45 33.9 5.52 110 1.31 10.5 7.30e+07 9.63e+06 5.25e+14 2.50e+03 2.29e+07 49.4 14.4 295 7.76 17.2
13.236331396903841 13 9.674842515447786 19.32819913372037 9.0 0.05297501008644516 5.0 5.0 3.1 1.1 3.0 1.0 3.00 0.923 2.08 0.00 1.44 165 39.0 4.18e+03 2.67 64.6 7.30e+07 7.41e+06 4.11e+14 534 2.03e+07 165 45.8 3.83e+03 14.3 61.9
14.236331396903841 13 9.674842515447786 19.32819913372037 9.0 0.05297501008644516 5.0 5.0 3.1 1.1 3.0 1.0 3.00 0.923 2.08 0.00 1.44 165 39.0 4.18e+03 2.67 64.6 7.30e+07 7.41e+06 4.11e+14 534 2.03e+07 451 77.9 1.64e+04 14.3 128
15.236331396903841 13 9.674842515447786 19.32819913372037 9.0 0.05297501008644516 5.0 5.0 3.1 1.1 3.0 1.0 3.00 0.923 2.08 0.00 1.44 165 39.0 4.18e+03 2.67 64.6 7.30e+07 7.41e+06 4.11e+14 534 2.03e+07 467 110 2.78e+04 14.3 167
16.236331396903843 13 9.674842515447786 19.32819913372037 9.0 0.05297501008644516 5.0 5.0 3.1 1.1 3.0 1.0 3.00 0.923 2.08 0.00 1.44 165 39.0 4.18e+03 2.67 64.6 7.30e+07 7.41e+06 4.11e+14 534 2.03e+07 467 136 2.75e+04 128 166
17.236331396903843 13 9.674842515447786 19.32819913372037 9.0 0.05297501008644516 5.0 5.0 3.1 1.1 3.0 1.0 3.00 0.923 2.08 0.00 1.44 165 39.0 4.18e+03 2.67 64.6 7.47e+16 1.23e+16 6.52e+32 3.63e+03 2.55e+16 467 136 2.75e+04 128 166
18.236331396903843 13 9.674842515447786 19.32819913372037 9.0 0.05297501008644516 5.0 5.0 3.1 1.1 3.0 1.0 3.00 0.923 2.08 0.00 1.44 165 39.0 4.18e+03 2.67 64.6 7.47e+16 1.23e+16 6.52e+32 3.63e+03 2.55e+16 467 136 2.75e+04 128 166
19.236331396903843 13 9.674842515447786 19.32819913372037 9.0 0.05297501008644516 5.0 5.0 3.1 1.1 3.0 1.0 3.00 0.923 2.08 0.00 1.44 165 39.0 4.18e+03 2.67 64.6 7.47e+16 1.23e+16 6.52e+32 3.63e+03 2.55e+16 467 136 2.75e+04 128 166
20.236331396903843 13 9.674842515447786 19.32819913372037 9.0 0.05297501008644516 5.0 5.0 3.1 1.1 3.0 1.0 3.00 0.923 2.08 0.00 1.44 165 39.0 4.18e+03 2.67 64.6 7.47e+16 1.23e+16 6.52e+32 3.63e+03 2.55e+16 467 136 2.75e+04 128 166
21.236331396903843 16 9.522352242607736 22.056646001861782 11.0 0.05417412808606359 6.0 6.0 3.5 1.6 3.0 1.3 3.00 0.938 2.06 0.00 1.44 270 78.5 1.06e+04 7.76 103 7.47e+16 1.00e+16 5.46e+32 1.22e+03 2.34e+16 467 157 2.42e+04 143 156
22.236331396903843 16 9.522352242607736 22.056646001861782 11.0 0.05417412808606359 6.0 6.0 3.5 1.6 3.0 1.3 3.00 0.938 2.06 0.00 1.44 270 78.5 1.06e+04 7.76 103 7.47e+16 1.00e+16 5.46e+32 1.22e+03 2.34e+16 749 194 4.61e+04 143 215
23.236331396903843 16 9.522352242607736 22.056646001861782 11.0 0.05417412808606359 6.0 6.0 3.5 1.6 3.0 1.3 3.00 0.938 2.06 0.00 1.44 270 78.5 1.06e+04 7.76 103 7.47e+16 1.00e+16 5.46e+32 1.22e+03 2.34e+16 1.04e+03 231 8.75e+04 143 296
