#####################################################################
# Alchemist log file - simulation started at: 2025-03-20T15:40+0000 #
#####################################################################
#
# seed = 211.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 500 500 0.00 500 0.00 NaN NaN NaN NaN NaN
0.9564462269981362 4 10.156861171176041 12.775181903452879 3.0 0.10496694877694461 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.101 0.101 0.00 0.101 0.00 450 113 5.06e+04 0.00 225 0.101 0.101 0.00 0.101 0.00
1.00774620658993 4 10.156861171176041 12.775181903452879 3.0 0.10496694877694461 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.107 0.103 8.48e-06 0.101 0.00291 450 113 5.06e+04 0.00 225 0.107 0.103 8.48e-06 0.101 0.00291
2.00774620658993 4 10.156861171176041 12.775181903452879 3.0 0.10496694877694461 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.198 0.134 0.00196 0.119 0.0442 2.68e+03 1.56e+03 8.66e+05 1.54e+03 931 0.218 0.163 0.00280 0.164 0.0529
3.00774620658993 4 10.156861171176041 12.775181903452879 3.0 0.10496694877694461 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.198 0.134 0.00196 0.119 0.0442 2.41e+03 1.44e+03 6.56e+05 1.46e+03 810 0.218 0.163 0.00280 0.164 0.0529
4.00774620658993 7 11.461878174716984 13.241685620353328 5.0 0.1214188402283419 2.0 5.0 3.4 1.3 4.0 1.1 3.00 0.857 2.14 0.00 1.46 0.602 0.195 0.0334 0.122 0.183 2.41e+03 825 9.24e+05 450 961 0.602 0.211 0.0317 0.130 0.178
5.00774620658993 7 11.461878174716984 13.241685620353328 5.0 0.1214188402283419 2.0 5.0 3.4 1.3 4.0 1.1 3.00 0.857 2.14 0.00 1.46 0.602 0.195 0.0334 0.122 0.183 486 170 4.48e+04 109 212 0.602 0.266 0.0409 0.130 0.202
6.00774620658993 7 11.461878174716984 13.241685620353328 5.0 0.1214188402283419 2.0 5.0 3.4 1.3 4.0 1.1 3.00 0.857 2.14 0.00 1.46 0.602 0.195 0.0334 0.122 0.183 7.08e+03 1.55e+03 6.21e+06 450 2.49e+03 0.602 0.266 0.0409 0.130 0.202
7.00774620658993 7 11.461878174716984 13.241685620353328 5.0 0.1214188402283419 2.0 5.0 3.4 1.3 4.0 1.1 3.00 0.857 2.14 0.00 1.46 0.602 0.195 0.0334 0.122 0.183 7.08e+03 1.55e+03 6.21e+06 450 2.49e+03 0.602 0.266 0.0409 0.130 0.202
8.00774620658993 10 13.380082960787371 14.534826963116128 7.0 0.07423908797991452 3.0 5.0 3.6 2.0 4.0 1.4 3.00 0.900 2.10 0.00 1.45 2.94 0.459 0.781 0.129 0.884 7.08e+03 1.08e+03 4.70e+06 285 2.17e+03 2.94 0.509 0.758 0.146 0.871
