#####################################################################
# Alchemist log file - simulation started at: 2025-03-20T15:40+0000 #
#####################################################################
#
# seed = 221.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 500 500 0.00 500 0.00 NaN NaN NaN NaN NaN
0.53135731474607 4 8.641620303173259 10.29382749258706 3.0 0.09968052559659499 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.101 0.101 0.00 0.101 0.00 450 113 5.06e+04 0.00 225 0.101 0.101 0.00 0.101 0.00
1.53135731474607 4 8.641620303173259 10.29382749258706 3.0 0.09968052559659499 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.109 0.103 1.89e-05 0.101 0.00434 1.49e+03 1.17e+03 2.34e+05 1.37e+03 484 0.155 0.116 0.000691 0.105 0.0263
2.53135731474607 4 8.641620303173259 10.29382749258706 3.0 0.09968052559659499 2.0 3.0 2.0 0.67 2.0 0.82 3.00 0.750 2.25 0.00 1.50 0.109 0.103 1.89e-05 0.101 0.00434 1.34e+03 1.07e+03 1.71e+05 1.23e+03 413 0.155 0.116 0.000691 0.105 0.0263
3.53135731474607 7 12.281012899443747 11.71397565771417 5.0 0.056903544529460226 3.0 4.0 2.3 0.90 2.0 0.95 3.00 0.857 2.14 0.00 1.46 0.391 0.147 0.0117 0.101 0.108 1.34e+03 609 4.09e+05 450 640 0.391 0.155 0.0113 0.109 0.106
4.53135731474607 7 12.281012899443747 11.71397565771417 5.0 0.056903544529460226 3.0 4.0 2.3 0.90 2.0 0.95 3.00 0.857 2.14 0.00 1.46 0.391 0.147 0.0117 0.101 0.108 462 176 4.17e+04 158 204 0.391 0.198 0.0145 0.125 0.121
5.53135731474607 7 12.281012899443747 11.71397565771417 5.0 0.056903544529460226 3.0 4.0 2.3 0.90 2.0 0.95 3.00 0.857 2.14 0.00 1.46 0.391 0.147 0.0117 0.101 0.108 4.40e+03 1.16e+03 2.28e+06 450 1.51e+03 0.391 0.198 0.0145 0.125 0.121
6.53135731474607 7 12.281012899443747 11.71397565771417 5.0 0.056903544529460226 3.0 4.0 2.3 0.90 2.0 0.95 3.00 0.857 2.14 0.00 1.46 0.391 0.147 0.0117 0.101 0.108 4.40e+03 1.16e+03 2.28e+06 450 1.51e+03 0.391 0.198 0.0145 0.125 0.121
7.53135731474607 10 13.828078186673427 14.72414655116458 7.0 0.04952615973046001 4.0 5.0 2.8 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 6.93 1.24 5.04 0.117 2.24 4.40e+03 809 1.83e+06 280 1.35e+03 6.93 1.27 4.95 0.284 2.23
8.53135731474607 10 13.828078186673427 14.72414655116458 7.0 0.04952615973046001 4.0 5.0 2.8 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 6.93 1.24 5.04 0.117 2.24 4.40e+03 809 1.83e+06 280 1.35e+03 7.32 1.97 8.40 0.284 2.90
9.53135731474607 10 13.828078186673427 14.72414655116458 7.0 0.04952615973046001 4.0 5.0 2.8 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 6.93 1.24 5.04 0.117 2.24 4.40e+03 1.08e+03 2.37e+06 271 1.54e+03 7.32 2.49 7.84 1.53 2.80
10.53135731474607 10 13.828078186673427 14.72414655116458 7.0 0.04952615973046001 4.0 5.0 2.8 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 6.93 1.24 5.04 0.117 2.24 6.09e+06 9.88e+05 4.04e+12 1.72e+03 2.01e+06 7.32 2.49 7.84 1.53 2.80
11.53135731474607 10 13.828078186673427 14.72414655116458 7.0 0.04952615973046001 4.0 5.0 2.8 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 6.93 1.24 5.04 0.117 2.24 6.09e+06 9.88e+05 4.04e+12 1.72e+03 2.01e+06 7.32 2.49 7.84 1.53 2.80
12.53135731474607 10 13.828078186673427 14.72414655116458 7.0 0.04952615973046001 4.0 5.0 2.8 1.3 3.0 1.1 3.00 0.900 2.10 0.00 1.45 6.93 1.24 5.04 0.117 2.24 6.09e+06 9.88e+05 4.04e+12 1.72e+03 2.01e+06 7.32 2.49 7.84 1.53 2.80
13.53135731474607 13 13.340880781314752 16.643946619019946 9.0 0.048767581030004 5.0 6.0 3.1 2.2 3.0 1.5 3.00 0.923 2.08 0.00 1.44 64.6 7.71 328 0.391 18.1 6.09e+06 7.60e+05 3.22e+12 458 1.79e+06 64.6 8.67 316 2.01 17.8
14.53135731474607 13 13.340880781314752 16.643946619019946 9.0 0.048767581030004 5.0 6.0 3.1 2.2 3.0 1.5 3.00 0.923 2.08 0.00 1.44 64.6 7.71 328 0.391 18.1 6.09e+06 7.60e+05 3.22e+12 458 1.79e+06 87.8 14.9 797 2.01 28.2
15.53135731474607 13 13.340880781314752 16.643946619019946 9.0 0.048767581030004 5.0 6.0 3.1 2.2 3.0 1.5 3.00 0.923 2.08 0.00 1.44 64.6 7.71 328 0.391 18.1 6.09e+06 7.60e+05 3.22e+12 458 1.79e+06 87.8 18.9 940 2.01 30.7
16.53135731474607 13 13.340880781314752 16.643946619019946 9.0 0.048767581030004 5.0 6.0 3.1 2.2 3.0 1.5 3.00 0.923 2.08 0.00 1.44 64.6 7.71 328 0.391 18.1 6.09e+06 7.60e+05 3.22e+12 458 1.79e+06 87.8 22.0 899 3.35 30.0
17.53135731474607 13 13.340880781314752 16.643946619019946 9.0 0.048767581030004 5.0 6.0 3.1 2.2 3.0 1.5 3.00 0.923 2.08 0.00 1.44 64.6 7.71 328 0.391 18.1 5.01e+09 4.47e+08 1.92e+18 3.05e+03 1.39e+09 87.8 22.0 899 3.35 30.0
18.53135731474607 13 13.340880781314752 16.643946619019946 9.0 0.048767581030004 5.0 6.0 3.1 2.2 3.0 1.5 3.00 0.923 2.08 0.00 1.44 64.6 7.71 328 0.391 18.1 5.01e+09 4.47e+08 1.92e+18 3.05e+03 1.39e+09 87.8 22.0 899 3.35 30.0
19.53135731474607 13 13.340880781314752 16.643946619019946 9.0 0.048767581030004 5.0 6.0 3.1 2.2 3.0 1.5 3.00 0.923 2.08 0.00 1.44 64.6 7.71 328 0.391 18.1 5.01e+09 4.47e+08 1.92e+18 3.05e+03 1.39e+09 87.8 22.0 899 3.35 30.0
20.53135731474607 13 13.340880781314752 16.643946619019946 9.0 0.048767581030004 5.0 6.0 3.1 2.2 3.0 1.5 3.00 0.923 2.08 0.00 1.44 64.6 7.71 328 0.391 18.1 5.01e+09 4.47e+08 1.92e+18 3.05e+03 1.39e+09 87.8 22.0 899 3.35 30.0
21.53135731474607 16 13.710445732750348 19.04178846077782 11.0 0.047478949150152404 6.0 7.0 3.3 2.6 3.0 1.6 3.00 0.938 2.06 0.00 1.44 222 27.6 3.52e+03 1.33 59.3 5.01e+09 3.63e+08 1.57e+18 1.19e+03 1.25e+09 222 39.2 3.52e+03 15.4 59.3
