#####################################################################
# Alchemist log file - simulation started at: 2025-03-21T13:44+0000 #
#####################################################################
#
# seed = 4.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.8335762378570932 2 11.901091460292715 11.623530492353657 1.0 0.16199684020782282 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00128 0.00128 0.00 0.00128 0.00 NaN NaN NaN NaN NaN 0.00128 0.00128 0.00 0.00128 0.00 269 269 0.00 269 0.00
1.8335762378570932 3 9.996252704224487 10.004403382649713 2.0 0.06078278236434362 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.0200 0.00752 0.000117 0.00128 0.0108 0.00 0.00 0.00 0.00 0.00 0.0213 0.0209 5.48e-07 0.0213 0.000740 269 180 2.42e+04 269 155
2.009693127016113 5 9.890818513919385 9.786878985951953 2.0 0.046568591035710885 4.0 2.0 1.6 0.30 2.0 0.55 1.00 0.200 0.200 0.00 0.447 0.0200 0.00440 7.64e-05 0.000615 0.00874 143 69.5 6.45e+03 67.3 80.3 0.0213 0.00840 0.000125 0.000615 0.0112 269 109 1.28e+04 135 113
3.009693127016113 9 9.995838801191983 8.553615928954517 4.0 0.04106928279013529 5.0 4.0 2.2 1.2 2.0 1.1 2.00 0.444 0.528 0.00 0.726 0.128 0.0167 0.00179 5.49e-05 0.0423 191 46.3 5.06e+03 0.137 71.1 0.128 0.0190 0.00175 8.56e-05 0.0419 269 81.1 1.13e+04 0.275 106
4.009693127016114 11 9.856660637467439 10.044174685229182 7.0 0.040612407065976595 5.0 4.0 2.2 1.4 2.0 1.2 3.00 0.818 1.16 0.00 1.08 0.857 0.103 0.0650 0.000615 0.255 133 33.5 3.20e+03 0.320 56.6 0.857 0.117 0.0640 0.000617 0.253 269 67.2 9.88e+03 0.640 99.4
5.009693127016114 13 9.930876965510057 11.697841256643375 7.0 0.03679698609213268 5.0 4.0 2.3 1.1 2.0 1.0 3.00 0.846 1.31 0.00 1.14 11.8 1.00 10.7 0.00128 3.27 132 16.8 1.51e+03 0.0474 38.9 11.8 1.10 10.5 0.0732 3.24 269 49.4 8.30e+03 0.0948 91.1
6.009693127016114 17 9.907351721869638 13.580818108694164 10.0 0.04381564938188134 6.0 5.0 2.9 1.2 3.0 1.1 3.00 0.706 1.22 0.00 1.10 13.3 2.31 23.0 0.0200 4.80 61.3 15.9 665 0.0278 25.8 13.3 3.19 28.2 0.288 5.31 269 44.4 6.45e+03 0.0441 80.3
7.009693127016114 20 10.501735498429163 14.587656987989192 11.0 0.04147950379945884 6.0 5.0 3.3 1.7 4.0 1.3 3.00 0.850 1.29 0.00 1.14 30.9 3.53 61.2 0.0804 7.82 50.5 11.1 334 0.0107 18.3 42.7 8.70 218 0.325 14.8 269 38.9 5.73e+03 0.351 75.7
8.009693127016114 22 11.068686260959558 15.412517220295234 12.0 0.045627454179404725 6.0 6.0 3.5 1.9 4.0 1.4 5.00 1.05 1.85 0.00 1.36 95.5 10.8 619 0.108 24.9 74.2 10.4 352 0.0784 18.8 138 26.8 1.99e+03 1.24 44.6 269 38.7 5.86e+03 0.340 76.5
