#####################################################################
# Alchemist log file - simulation started at: 2025-03-21T13:44+0000 #
#####################################################################
#
# seed = 134.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.8879311969414474 2 11.635307279947883 8.109029323297303 1.0 0.16169099736922765 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00128 0.00128 0.00 0.00128 0.00 NaN NaN NaN NaN NaN 0.00128 0.00128 0.00 0.00128 0.00 269 269 0.00 269 0.00
1.8879311969414474 3 9.561474842495725 9.403252220839574 2.0 0.06613413067467806 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00128 0.000861 5.33e-07 0.00128 0.000730 0.00 0.00 0.00 0.00 0.00 0.00130 0.000873 5.48e-07 0.00130 0.000740 269 180 2.42e+04 269 155
2.887931196941447 6 9.841186800364326 9.948088635922181 3.0 0.031959810272159786 4.0 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.0189 0.00453 5.38e-05 0.00128 0.00734 9.88e+03 2.50e+03 2.42e+07 67.3 4.92e+03 0.0189 0.00643 4.77e-05 0.00635 0.00691 9.88e+03 1.76e+03 1.58e+07 202 3.98e+03
3.004010341366217 9 7.914489463301349 11.755969271955692 4.0 0.02782739878792076 5.0 3.0 2.0 0.75 2.0 0.87 2.00 0.444 0.528 0.00 0.726 1.99 0.234 0.432 0.00570 0.657 220 49.9 6.34e+03 0.278 79.6 1.99 0.237 0.430 0.0189 0.656 269 84.3 1.21e+04 0.556 110
4.004010341366217 14 7.585797714349353 12.361989656560523 9.0 0.03374380055927793 6.0 5.0 2.7 2.1 2.5 1.4 3.00 0.714 0.835 0.500 0.914 1.99 0.300 0.510 0.0189 0.714 70.7 29.0 920 20.2 30.3 2.04 0.594 0.870 0.0378 0.933 269 60.1 5.95e+03 26.9 77.2
5.004010341366217 16 8.23628292285128 13.237110900478992 9.0 0.03805410340252857 6.0 5.0 2.8 1.9 2.5 1.4 3.00 1.00 1.20 1.00 1.10 5.13 0.580 1.92 0.00461 1.39 65.3 17.6 884 0.0866 29.7 7.12 1.61 6.61 0.0299 2.57 269 58.3 8.60e+03 0.796 92.7
6.004010341366217 18 8.881383931536408 14.61787866697495 10.0 0.03454541230517335 7.0 5.0 2.9 1.9 3.0 1.4 4.00 0.944 1.82 0.00 1.35 53.6 3.73 157 0.0123 12.5 65.2 12.5 518 0.231 22.8 53.6 5.27 160 0.0519 12.6 269 45.5 6.85e+03 0.574 82.7
7.004010341366217 21 10.181938711250828 15.877871520007412 11.0 0.02816538882453117 8.0 5.0 2.9 2.1 3.0 1.5 4.00 0.810 1.66 0.00 1.29 223 15.2 2.44e+03 0.0378 49.4 50.1 9.47 266 0.159 16.3 223 23.0 2.74e+03 0.123 52.4 269 35.5 5.61e+03 0.498 74.9
8.004010341366218 24 10.484442356704234 17.422896424163202 12.0 0.027761192791201685 9.0 6.0 3.0 2.5 3.0 1.6 4.00 0.833 1.54 0.00 1.24 333 29.0 6.33e+03 0.0901 79.6 50.2 8.82 225 0.249 15.0 333 48.9 8.86e+03 0.487 94.1 269 33.6 5.08e+03 0.528 71.3
9.004010341366218 29 10.785101358987303 20.021321716913917 15.0 0.029262924179003145 10.0 7.0 3.4 3.1 3.0 1.8 4.00 0.793 1.38 0.00 1.18 333 46.5 7.76e+03 0.557 88.1 50.5 7.17 166 0.0493 12.9 556 95.7 2.07e+04 4.99 144 269 29.3 4.33e+03 0.0961 65.8
10.004010341366218 32 10.735018611795265 21.064923367528642 18.0 0.03229012323200347 10.0 7.0 3.7 3.8 4.0 2.0 4.00 0.875 1.47 0.00 1.21 333 61.5 9.46e+03 2.93 97.3 50.5 6.31 141 0.631 11.9 820 147 4.69e+04 38.7 216 269 27.8 4.06e+03 0.647 63.7
11.004010341366218 33 10.564915086861525 21.3047224515778 17.0 0.033299189583003576 10.0 7.0 3.8 3.5 4.0 1.9 4.00 0.939 1.75 0.00 1.32 333 62.8 9.22e+03 3.87 96.0 50.5 6.12 126 0.569 11.2 1.23e+03 224 1.23e+05 46.7 350 269 27.2 3.91e+03 1.14 62.5
