#####################################################################
# Alchemist log file - simulation started at: 2025-03-21T13:45+0000 #
#####################################################################
#
# seed = 467.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.08910288402601574 2 9.23629970782218 7.619503861854106 1.0 0.2750296817735021 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00128 0.00128 0.00 0.00128 0.00 NaN NaN NaN NaN NaN 0.00128 0.00128 0.00 0.00128 0.00 269 269 0.00 269 0.00
1.0891028840260157 3 7.837795769097467 8.200552511319158 2.0 0.12706065625279145 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00128 0.000857 5.42e-07 0.00128 0.000737 0.00 0.00 0.00 0.00 0.00 0.00129 0.000862 5.48e-07 0.00129 0.000740 269 180 2.42e+04 269 155
2.0891028840260155 6 7.358428447757748 7.461221547873644 3.0 0.04100608508194174 4.0 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.00128 0.000498 3.94e-07 0.000209 0.000628 2.61e+04 6.55e+03 1.69e+08 67.3 1.30e+04 0.00170 0.000637 7.03e-07 0.000209 0.000838 2.61e+04 4.46e+03 1.12e+08 202 1.06e+04
3.0891028840260155 9 7.327956203559314 8.539752402765146 4.0 0.031852407671844496 5.0 3.0 1.8 0.69 2.0 0.83 3.00 0.556 1.03 0.00 1.01 0.0443 0.00958 0.000288 0.000411 0.0170 730 114 6.37e+04 1.43 252 0.0443 0.0104 0.000279 0.000418 0.0167 730 141 5.83e+04 2.86 241
4.0891028840260155 11 8.52025459742257 10.250661014835746 5.0 0.03018576642183025 6.0 3.0 2.0 0.60 2.0 0.77 3.00 0.727 1.02 0.00 1.01 1.32 0.162 0.160 0.00128 0.400 95.0 20.2 1.56e+03 0.0941 39.5 1.32 0.177 0.156 0.0403 0.395 269 52.2 8.79e+03 0.188 93.7
5.0891028840260155 15 8.816950909021365 11.59331667134089 7.0 0.04101937516688261 6.0 4.0 2.8 1.2 3.0 1.1 3.00 0.667 0.952 0.00 0.976 2.06 0.359 0.444 0.00676 0.666 70.8 14.4 601 0.00795 24.5 2.06 0.508 0.464 0.139 0.681 269 40.6 5.48e+03 0.0159 74.0
6.0891028840260155 21 9.925015316646503 13.28819612595639 11.0 0.04224762153753855 6.0 7.0 3.6 2.7 4.0 1.7 4.00 0.714 1.41 0.00 1.19 6.82 0.698 2.35 0.0335 1.53 49.7 10.1 293 0.00149 17.1 6.82 1.11 2.42 0.981 1.56 269 33.0 4.84e+03 0.00297 69.6
7.0891028840260155 23 10.189135903562757 13.95903224848004 12.0 0.041089377356052156 6.0 7.0 3.9 2.9 4.0 1.7 5.00 0.913 1.81 0.00 1.35 16.3 1.35 12.8 0.0443 3.57 52.6 7.47 200 0.484 14.2 16.3 2.43 14.5 1.27 3.81 269 32.8 5.01e+03 0.916 70.8
8.089102884026016 24 9.777350350833883 13.700531914408224 13.0 0.042875872023706595 6.0 7.0 3.9 2.9 4.0 1.7 5.00 1.04 1.87 0.500 1.37 16.3 1.30 12.3 0.0389 3.51 40.8 3.36 88.9 5.23e-05 9.43 20.5 4.61 42.4 1.38 6.51 269 22.7 4.02e+03 7.84e-05 63.4
9.089102884026016 28 10.624972354308742 13.673040562594428 14.0 0.044109764726398513 7.0 7.0 3.9 3.0 4.0 1.7 5.00 0.821 1.63 0.00 1.28 16.3 1.16 10.6 0.0275 3.26 38.2 4.10 69.0 0.0582 8.30 39.3 5.66 114 0.275 10.7 269 20.2 3.27e+03 0.118 57.2
10.089102884026016 31 10.220110147176499 14.539083480079858 16.0 0.04001176617712165 7.0 7.0 4.1 3.5 5.0 1.9 5.00 0.871 1.58 0.00 1.26 114 5.85 449 0.0443 21.2 44.0 6.90 119 3.47 10.9 114 9.42 494 0.523 22.2 269 25.2 3.35e+03 4.93 57.8
11.089102884026016 35 10.186537641281607 16.111138987953872 18.0 0.039057506830766926 8.0 7.0 4.0 3.6 5.0 1.9 5.00 0.857 1.60 0.00 1.26 303 20.3 3.25e+03 0.139 57.0 55.2 5.61 146 0.299 12.1 303 27.8 3.51e+03 1.41 59.3 269 22.6 3.63e+03 0.696 60.3
12.089102884026016 37 10.198885771267706 16.795983354993695 17.0 0.041289364363953605 8.0 7.0 4.2 3.3 5.0 1.8 5.00 0.946 1.61 0.00 1.27 303 26.1 3.77e+03 0.170 61.4 49.5 5.04 141 0.0470 11.9 418 57.0 8.97e+03 1.58 94.7 269 21.5 3.67e+03 0.101 60.5
13.089102884026016 40 10.260965523931311 17.431054196036985 20.0 0.04098256440291795 8.0 7.0 4.2 3.5 4.5 1.9 5.00 0.900 1.48 0.500 1.22 303 29.5 4.33e+03 0.171 65.8 83.9 6.86 292 0.0306 17.1 535 88.1 1.72e+04 1.64 131 269 23.8 3.72e+03 0.133 61.0
14.089102884026016 42 10.156945068281393 18.04704819829809 21.0 0.04303169262306385 8.0 8.0 4.3 3.5 5.0 1.9 5.00 0.929 1.58 0.00 1.26 303 34.9 5.44e+03 0.271 73.8 44.5 4.98 104 0.469 10.2 616 126 3.41e+04 1.74 185 269 20.7 3.06e+03 0.759 55.3
15.089102884026016 44 10.153467651090429 18.6739197804663 22.0 0.04232327888962979 9.0 8.0 4.4 4.0 5.0 2.0 5.00 0.932 1.55 0.00 1.25 303 41.6 6.76e+03 0.675 82.2 44.7 5.06 111 0.250 10.6 883 170 6.58e+04 1.87 256 269 21.0 3.02e+03 0.345 54.9
16.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.956 1.63 0.00 1.28 304 47.4 8.13e+03 0.981 90.2 44.8 5.03 106 0.148 10.3 1.06e+03 199 8.88e+04 1.94 298 269 20.7 2.95e+03 0.335 54.3
17.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.01 103 0.144 10.1 1.18e+03 230 1.21e+05 1.94 348 269 20.6 2.91e+03 0.288 53.9
18.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.12 111 0.129 10.5 1.22e+03 257 1.55e+05 1.94 394 269 20.8 2.93e+03 0.257 54.1
19.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.02 106 0.125 10.3 1.87e+03 302 2.49e+05 1.94 499 269 20.6 2.90e+03 0.249 53.8
20.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 46.1 5.13 116 0.0813 10.8 1.83e+03 312 2.64e+05 1.94 514 269 20.8 2.93e+03 0.233 54.1
21.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.19 117 0.0830 10.8 2.13e+03 326 3.10e+05 1.94 556 269 21.0 2.97e+03 0.238 54.5
22.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.4 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
23.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
24.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
25.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
26.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
27.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
28.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
29.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
30.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
31.089102884026016 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
32.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
33.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
34.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
35.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
36.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
37.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
38.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
39.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
40.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
41.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
42.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
43.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
44.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
45.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
46.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
47.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
48.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
49.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
50.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
51.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
52.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
53.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
54.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
55.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
56.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
57.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
58.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
59.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
60.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
61.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
62.08910288402602 45 10.163134094855383 19.09055517470042 24.0 0.04328517159166683 9.0 8.0 4.5 3.6 5.0 1.9 5.00 0.978 1.70 0.00 1.31 304 47.4 8.13e+03 0.981 90.2 44.8 5.10 109 0.0712 10.5 2.13e+03 326 3.10e+05 1.94 556 269 20.9 2.95e+03 0.204 54.3
