#####################################################################
# Alchemist log file - simulation started at: 2025-03-21T13:44+0000 #
#####################################################################
#
# seed = 256.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.10363945891295412 2 8.803274564636371 7.805040266347983 1.0 0.19034826608206187 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00128 0.00128 0.00 0.00128 0.00 NaN NaN NaN NaN NaN 0.00128 0.00128 0.00 0.00128 0.00 269 269 0.00 269 0.00
1.1036394589129541 3 10.794117404457376 9.030173770765785 2.0 0.0712824366351797 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00128 0.000858 5.40e-07 0.00128 0.000735 0.00 0.00 0.00 0.00 0.00 0.00129 0.000865 5.48e-07 0.00129 0.000740 269 180 2.42e+04 269 155
2.103639458912954 6 9.947355333402284 8.738386592284998 3.0 0.033823497335907775 4.0 3.0 2.3 0.67 2.5 0.82 2.00 0.667 1.07 0.00 1.03 0.0560 0.0103 0.000502 0.00128 0.0224 1.80e+04 4.54e+03 8.09e+07 67.3 8.99e+03 0.0560 0.0115 0.000480 0.00406 0.0219 1.80e+04 3.12e+03 5.34e+07 202 7.31e+03
3.103639458912954 9 11.504873735837876 10.741399895771728 4.0 0.0368043027717442 5.0 4.0 3.1 1.4 4.0 1.2 3.00 0.556 1.03 0.00 1.01 2.11 0.246 0.489 0.00128 0.699 247 53.3 7.74e+03 0.253 88.0 2.11 0.259 0.482 0.0439 0.695 269 87.2 1.31e+04 0.505 115
4.103639458912954 12 12.863949040536758 12.448915523475046 7.0 0.03611632896039651 6.0 5.0 3.2 1.6 3.5 1.3 4.00 0.750 1.48 0.00 1.22 18.0 1.72 26.5 0.00235 5.15 67.3 18.4 716 0.0168 26.8 18.0 1.91 26.2 0.0736 5.12 269 53.6 8.12e+03 0.0543 90.1
5.103639458912954 15 13.20804952038762 14.746263913220453 8.0 0.029718623380231034 7.0 5.0 3.1 1.8 4.0 1.3 4.00 0.733 1.64 0.00 1.28 86.8 8.28 507 0.0439 22.5 53.4 15.4 488 0.954 22.1 86.8 9.94 505 0.448 22.5 269 52.8 7.89e+03 0.977 88.8
6.103639458912954 19 13.143084823958883 17.000364459987306 10.0 0.032062089535754325 8.0 6.0 3.7 2.1 4.0 1.5 4.00 0.737 1.43 0.00 1.19 161 21.5 2.17e+03 0.183 46.6 53.8 12.0 357 0.600 18.9 161 29.2 2.45e+03 2.66 49.5 269 44.2 6.69e+03 1.16 81.8
7.103639458912954 21 12.376461637470081 18.51499275887641 12.0 0.030069359605953475 9.0 6.0 3.6 2.0 4.0 1.4 4.00 0.905 1.69 0.00 1.30 248 36.1 4.62e+03 0.448 68.0 53.8 8.97 285 0.190 16.9 248 68.8 8.01e+03 20.6 89.5 269 41.1 6.28e+03 0.344 79.3
8.103639458912955 24 12.04924731645516 19.212753198773544 13.0 0.03436498240680397 9.0 7.0 3.5 2.9 4.0 1.7 4.00 0.833 1.54 0.00 1.24 292 44.4 6.86e+03 1.25 82.8 53.9 10.2 297 0.189 17.2 409 104 2.15e+04 16.0 147 269 37.2 5.53e+03 0.390 74.4
