#####################################################################
# Alchemist log file - simulation started at: 2025-03-21T13:45+0000 #
#####################################################################
#
# seed = 412.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.41501489933722047 2 10.202629897034512 7.508225306166751 1.0 0.9902793198720239 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00128 0.00128 0.00 0.00128 0.00 NaN NaN NaN NaN NaN 0.00128 0.00128 0.00 0.00128 0.00 269 269 0.00 269 0.00
1.4150148993372205 3 10.803082765884364 9.865761171497516 2.0 0.1565197344309013 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00128 0.000857 5.44e-07 0.00128 0.000737 0.00 0.00 0.00 0.00 0.00 0.00129 0.000860 5.48e-07 0.00129 0.000740 269 180 2.42e+04 269 155
2.4150148993372205 6 11.068666399676106 10.711270911377667 3.0 0.03849016580039326 4.0 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 2.01 0.348 0.664 0.00128 0.815 3.25e+04 8.17e+03 2.64e+08 67.3 1.62e+04 2.01 0.373 0.644 0.0766 0.803 3.25e+04 5.54e+03 1.75e+08 202 1.32e+04
3.4150148993372205 9 10.503138321220888 12.749550389322378 4.0 0.04530113699132604 5.0 5.0 2.9 2.1 3.0 1.5 3.00 0.556 1.03 0.00 1.01 25.8 3.10 72.8 0.0227 8.53 183 45.3 4.72e+03 0.00630 68.7 25.8 3.56 70.4 0.0349 8.39 269 80.1 1.10e+04 0.0126 105
4.415014899337221 12 10.636101450308518 14.198534250146693 7.0 0.04790092413369596 6.0 6.0 3.2 3.2 3.0 1.8 5.00 0.833 2.15 0.00 1.47 35.2 5.28 143 0.0354 12.0 67.2 18.1 962 0.000286 31.0 35.2 7.79 178 0.129 13.3 269 55.8 8.87e+03 0.000429 94.2
5.415014899337221 15 10.895161070646575 16.34978823878711 8.0 0.040587439624197336 7.0 6.0 3.1 2.8 3.0 1.7 5.00 0.733 1.92 0.00 1.39 46.0 8.63 226 0.0759 15.0 71.9 16.0 649 1.25 25.5 61.0 16.4 402 5.05 20.0 269 52.0 7.89e+03 2.31 88.8
6.415014899337221 20 10.954763942429606 17.84191213784805 11.0 0.036824738446267456 8.0 7.0 3.6 2.7 3.0 1.6 5.00 0.700 1.59 0.00 1.26 46.0 10.1 246 0.481 15.7 74.6 11.8 424 0.0911 20.6 81.2 21.0 765 3.58 27.7 269 41.3 6.42e+03 0.186 80.1
7.415014899337221 23 9.711476594787154 19.43721570042221 13.0 0.031758659029043394 9.0 7.0 3.4 2.9 3.0 1.7 5.00 0.826 1.79 0.00 1.34 161 16.2 1.21e+03 2.01 34.7 74.1 9.77 336 0.203 18.3 161 35.0 2.16e+03 5.05 46.5 269 38.2 5.76e+03 0.276 75.9
8.415014899337221 23 9.711476594787154 19.43721570042221 12.0 0.031758659029043394 9.0 7.0 3.4 2.9 3.0 1.7 5.00 1.00 2.00 0.00 1.41 161 16.2 1.21e+03 2.01 34.7 74.5 5.03 281 0.00670 16.8 280 57.0 6.41e+03 7.69 80.0 269 28.2 5.74e+03 0.0134 75.8
