#####################################################################
# Alchemist log file - simulation started at: 2025-03-21T13:45+0000 #
#####################################################################
#
# seed = 477.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.3697488626137748 2 8.55862475528395 12.042654499400166 1.0 0.1698235950883592 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00128 0.00128 0.00 0.00128 0.00 NaN NaN NaN NaN NaN 0.00128 0.00128 0.00 0.00128 0.00 269 269 0.00 269 0.00
1.3697488626137748 3 9.669026479955063 9.818737196012464 2.0 0.07213236798873075 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.0462 0.0163 0.000674 0.00128 0.0260 0.00 0.00 0.00 0.00 0.00 0.0475 0.0471 5.48e-07 0.0475 0.000740 269 180 2.42e+04 269 155
2.3697488626137746 6 8.79398877860025 8.73667588211014 3.0 0.03456042378520659 4.0 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 0.120 0.0282 0.00236 0.00128 0.0486 138 68.3 6.21e+03 67.3 78.8 0.120 0.0436 0.00194 0.0469 0.0441 269 135 1.45e+04 137 120
3.3697488626137746 9 7.590078178698366 10.629988339893593 4.0 0.03852518089542414 5.0 3.0 2.0 1.0 2.0 1.0 3.00 0.556 1.03 0.00 1.01 2.78 0.431 0.869 0.00128 0.932 184 45.5 4.80e+03 0.0147 69.3 2.78 0.463 0.844 0.120 0.918 269 80.3 1.11e+04 0.0295 105
4.369748862613775 12 7.09527339806962 11.681960130526724 6.0 0.048331546638559826 5.0 5.0 2.3 1.5 2.5 1.2 3.00 0.667 0.970 0.00 0.985 16.9 1.73 23.3 0.00179 4.83 119 18.4 1.52e+03 0.00705 38.9 16.9 2.14 22.6 0.466 4.75 269 51.1 8.77e+03 0.0117 93.6
5.369748862613775 16 6.46948136669525 14.001904713857007 7.0 0.03662688104562457 6.0 6.0 2.9 1.9 3.0 1.4 3.00 0.688 1.16 0.00 1.08 112 8.46 777 0.0378 27.9 76.4 13.5 558 0.00112 23.6 112 10.2 767 1.38 27.7 269 44.8 6.79e+03 0.00182 82.4
6.369748862613775 20 6.722809291787145 15.603388912224933 11.0 0.043594156106995734 6.0 6.0 3.4 1.8 3.5 1.4 4.00 0.800 1.54 0.00 1.24 112 8.76 628 0.228 25.1 69.4 10.6 381 0.00633 19.5 129 17.5 1.30e+03 2.77 36.1 269 37.8 5.82e+03 0.0121 76.3
7.369748862613775 22 5.898479107635424 16.305473100797883 11.0 0.0473578625338395 6.0 7.0 3.8 2.7 4.0 1.7 4.00 0.955 1.76 0.00 1.33 112 8.07 573 0.359 23.9 43.0 3.93 94.7 3.95e-05 9.73 165 36.1 3.61e+03 2.77 60.1 269 25.5 5.07e+03 7.10e-05 71.2
8.369748862613775 23 6.177252792717783 16.292168310661523 12.0 0.049510492649014026 6.0 7.0 3.8 2.9 4.0 1.7 4.00 0.913 1.36 0.00 1.16 112 7.73 550 0.336 23.4 61.7 4.19 171 0.0545 13.1 156 34.8 3.53e+03 3.08 59.4 269 23.0 4.37e+03 0.124 66.1
9.369748862613775 26 6.463872793663422 17.284970996846496 14.0 0.055968382994537595 6.0 7.0 4.5 2.9 5.0 1.7 4.00 0.846 1.42 0.00 1.19 112 12.5 791 0.546 28.1 51.7 7.35 229 0.801 15.1 198 40.8 4.47e+03 5.05 66.8 269 29.1 4.62e+03 1.06 67.9
10.369748862613775 28 6.7913714975193145 17.792636433285832 16.0 0.052373401649480275 7.0 7.0 4.4 3.3 5.0 1.8 4.00 0.893 1.51 0.00 1.23 204 18.9 2.05e+03 0.670 45.3 52.2 6.49 184 0.621 13.6 204 49.3 5.44e+03 5.05 73.7 269 29.5 4.69e+03 0.825 68.5
11.369748862613775 32 7.100363069190786 19.125472383455506 17.0 0.04878236737459773 8.0 7.0 4.4 3.5 4.5 1.9 4.00 0.844 1.68 0.00 1.30 298 32.0 4.53e+03 1.17 67.3 51.5 6.98 165 0.877 12.8 316 74.9 1.32e+04 6.82 115 269 27.0 4.02e+03 1.17 63.4
12.369748862613775 35 7.39493321349007 20.389819702472725 19.0 0.048930120699380276 8.0 7.0 4.3 3.6 4.0 1.9 4.00 0.886 1.69 0.00 1.30 303 49.2 7.69e+03 1.59 87.7 52.3 6.18 131 0.796 11.4 614 114 2.74e+04 8.34 165 269 26.1 3.90e+03 1.18 62.4
13.369748862613775 38 7.549376540160895 21.3193203852279 21.0 0.050435299081398266 8.0 8.0 4.6 3.9 5.0 2.0 4.00 0.895 1.72 0.00 1.31 303 58.9 9.29e+03 2.58 96.4 52.6 5.79 113 0.769 10.6 1.02e+03 163 6.60e+04 12.5 257 269 24.9 3.69e+03 2.35 60.7
14.369748862613775 40 7.5717721669327345 21.948018146091524 22.0 0.05059144728486315 9.0 8.0 4.8 4.1 5.0 2.0 4.00 0.925 1.71 0.00 1.31 303 64.8 9.67e+03 4.06 98.3 53.0 5.30 110 0.530 10.5 1.41e+03 226 1.42e+05 18.7 377 269 24.1 3.61e+03 1.55 60.1
15.369748862613775 41 7.527600562108146 22.270412504634717 23.0 0.05185623346698473 9.0 8.0 4.8 4.0 5.0 2.0 4.00 0.951 1.80 0.00 1.34 303 69.1 1.02e+04 5.34 101 53.4 5.13 109 0.499 10.4 1.92e+03 287 2.57e+05 22.1 507 269 23.8 3.59e+03 1.48 59.9
16.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.930 1.78 0.00 1.33 303 75.0 1.09e+04 9.72 105 53.5 4.94 108 0.397 10.4 2.17e+03 336 3.68e+05 34.2 606 269 23.0 3.49e+03 1.14 59.1
17.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.977 1.83 0.00 1.35 303 75.0 1.09e+04 9.72 105 53.6 5.12 105 0.992 10.3 2.41e+03 394 5.42e+05 34.2 736 269 23.3 3.47e+03 1.98 58.9
18.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.977 1.83 0.00 1.35 303 75.0 1.09e+04 9.72 105 53.4 5.14 105 0.894 10.3 2.76e+03 429 6.79e+05 34.2 824 269 23.4 3.48e+03 1.79 59.0
19.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.977 1.83 0.00 1.35 303 75.0 1.09e+04 9.72 105 53.5 5.13 106 0.780 10.3 3.06e+03 462 8.35e+05 34.2 914 269 23.4 3.48e+03 1.57 59.0
20.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.977 1.83 0.00 1.35 303 75.0 1.09e+04 9.72 105 53.5 5.13 106 0.705 10.3 3.15e+03 486 9.54e+05 34.2 977 269 23.4 3.49e+03 1.41 59.1
21.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.977 1.83 0.00 1.35 303 75.0 1.09e+04 9.72 105 53.5 5.13 107 0.686 10.3 3.23e+03 492 9.89e+05 34.2 994 269 23.4 3.49e+03 1.37 59.1
22.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.977 1.83 0.00 1.35 303 75.0 1.09e+04 9.72 105 53.6 5.13 107 0.686 10.3 3.23e+03 492 9.89e+05 34.2 994 269 23.4 3.49e+03 1.37 59.1
23.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.977 1.83 0.00 1.35 303 75.0 1.09e+04 9.72 105 53.6 5.13 107 0.686 10.3 3.23e+03 492 9.89e+05 34.2 994 269 23.4 3.49e+03 1.37 59.1
24.369748862613775 43 7.741392431758091 23.05966018578242 24.0 0.05190477552571586 9.0 8.0 4.9 4.1 5.0 2.0 4.00 0.977 1.83 0.00 1.35 303 75.0 1.09e+04 9.72 105 53.6 5.13 107 0.686 10.3 3.23e+03 492 9.89e+05 34.2 994 269 23.4 3.49e+03 1.37 59.1
